Item1,Item2,Time,Book
Parkes,Johnny,714,barnaby-rudge
Johnny,Parkes,714,barnaby-rudge
John,Joe,717,barnaby-rudge
Joe,John,717,barnaby-rudge
Solomon,Parkes,725,barnaby-rudge
Solomon,Parkes,725,barnaby-rudge
Parkes,Solomon,725,barnaby-rudge
Parkes,Solomon,725,barnaby-rudge
Barnaby,John,726,barnaby-rudge
John,Barnaby,726,barnaby-rudge
John,Haredale,739,barnaby-rudge
Haredale,John,739,barnaby-rudge
Haredale,Nature,766,barnaby-rudge
Nature,Haredale,766,barnaby-rudge
Ned,Haredale,770,barnaby-rudge
Haredale,Ned,770,barnaby-rudge
Haredale,Ned,770,barnaby-rudge
Ned,Haredale,770,barnaby-rudge
Ned,Haredale,784,barnaby-rudge
Haredale,Ned,784,barnaby-rudge
John,Willet,795,barnaby-rudge
Willet,John,795,barnaby-rudge
Willet,John,795,barnaby-rudge
John,Willet,795,barnaby-rudge
Willet,Barnaby,796,barnaby-rudge
Barnaby,Willet,796,barnaby-rudge
John,Willet,797,barnaby-rudge
Willet,John,797,barnaby-rudge
Willet,John,797,barnaby-rudge
John,Willet,797,barnaby-rudge
John,Barnaby,799,barnaby-rudge
John,Barnaby,799,barnaby-rudge
John,Follow,799,barnaby-rudge
Barnaby,John,799,barnaby-rudge
Barnaby,Follow,799,barnaby-rudge
Barnaby,John,799,barnaby-rudge
Barnaby,Follow,799,barnaby-rudge
Follow,John,799,barnaby-rudge
Follow,Barnaby,799,barnaby-rudge
Follow,Barnaby,799,barnaby-rudge
Barnaby,John,802,barnaby-rudge
John,Barnaby,802,barnaby-rudge
Joseph Willet,Chester,809,barnaby-rudge
Joseph Willet,Joe,809,barnaby-rudge
Joseph Willet,Joe,809,barnaby-rudge
Chester,Joseph Willet,809,barnaby-rudge
Chester,Joe,809,barnaby-rudge
Chester,Joe,809,barnaby-rudge
Joe,Joseph Willet,809,barnaby-rudge
Joe,Chester,809,barnaby-rudge
Joe,Joseph Willet,809,barnaby-rudge
Joe,Chester,809,barnaby-rudge
John Willet,Joe,810,barnaby-rudge
Joe,John Willet,810,barnaby-rudge
John,Hugh,811,barnaby-rudge
John,Hugh,811,barnaby-rudge
Hugh,John,811,barnaby-rudge
Hugh,John,811,barnaby-rudge
Hugh,John,812,barnaby-rudge
John,Hugh,812,barnaby-rudge
John,Joe,816,barnaby-rudge
Joe,John,816,barnaby-rudge
Joe,Varden,822,barnaby-rudge
Varden,Joe,822,barnaby-rudge
Joe,Heaven,826,barnaby-rudge
Heaven,Joe,826,barnaby-rudge
Joe,Hugh,832,barnaby-rudge
Joe,John,832,barnaby-rudge
Hugh,Joe,832,barnaby-rudge
Hugh,John,832,barnaby-rudge
John,Joe,832,barnaby-rudge
John,Hugh,832,barnaby-rudge
John Willet,Thames Street,839,barnaby-rudge
John Willet,John,839,barnaby-rudge
John Willet,Dolly Varden,839,barnaby-rudge
Thames Street,John Willet,839,barnaby-rudge
Thames Street,John,839,barnaby-rudge
Thames Street,Dolly Varden,839,barnaby-rudge
John,John Willet,839,barnaby-rudge
John,Thames Street,839,barnaby-rudge
John,Dolly Varden,839,barnaby-rudge
Dolly Varden,John Willet,839,barnaby-rudge
Dolly Varden,Thames Street,839,barnaby-rudge
Dolly Varden,John,839,barnaby-rudge
Varden,Joe,841,barnaby-rudge
Joe,Varden,841,barnaby-rudge
Gabriel,Joe,845,barnaby-rudge
Gabriel,Joe,845,barnaby-rudge
Joe,Gabriel,845,barnaby-rudge
Joe,Gabriel,845,barnaby-rudge
Joe,Dolly,854,barnaby-rudge
Dolly,Joe,854,barnaby-rudge
Mrs Varden,Varden,857,barnaby-rudge
Varden,Mrs Varden,857,barnaby-rudge
Varden,Mrs Varden,857,barnaby-rudge
Mrs Varden,Varden,857,barnaby-rudge
Martha,Joe,858,barnaby-rudge
Joe,Martha,858,barnaby-rudge
Mrs Varden,Miggs,860,barnaby-rudge
Mrs Varden,Miggs,860,barnaby-rudge
Mrs Varden,Willet,860,barnaby-rudge
Mrs Varden,Miggs,860,barnaby-rudge
Miggs,Mrs Varden,860,barnaby-rudge
Miggs,Willet,860,barnaby-rudge
Miggs,Mrs Varden,860,barnaby-rudge
Miggs,Willet,860,barnaby-rudge
Willet,Mrs Varden,860,barnaby-rudge
Willet,Miggs,860,barnaby-rudge
Willet,Miggs,860,barnaby-rudge
Willet,Miggs,860,barnaby-rudge
Miggs,Mrs Varden,860,barnaby-rudge
Miggs,Willet,860,barnaby-rudge
Miggs,Mrs Varden,864,barnaby-rudge
Mrs Varden,Miggs,864,barnaby-rudge
Mrs Varden,Dolly,866,barnaby-rudge
Mrs Varden,Joseph,866,barnaby-rudge
Dolly,Mrs Varden,866,barnaby-rudge
Dolly,Joseph,866,barnaby-rudge
Joseph,Mrs Varden,866,barnaby-rudge
Joseph,Dolly,866,barnaby-rudge
Gabriel,Mrs Varden,867,barnaby-rudge
Gabriel,Joe,867,barnaby-rudge
Mrs Varden,Gabriel,867,barnaby-rudge
Mrs Varden,Joe,867,barnaby-rudge
