Item1,Item2,Time,Book
Ralph,Nickleby,120,nicholas-nickleby
Miss La Creevy,Nickleby,144,nicholas-nickleby
Nickleby,Miss La Creevy,144,nicholas-nickleby
Miss La Creevy,Nickleby,146,nicholas-nickleby
Nickleby,Miss La Creevy,146,nicholas-nickleby
Ralph,Bah,155,nicholas-nickleby
Bah,Ralph,155,nicholas-nickleby
Mr. Ralph Nickleby,Ralph,160,nicholas-nickleby
Ralph,Mr. Ralph Nickleby,160,nicholas-nickleby
Ralph,Nicholas,161,nicholas-nickleby
Nicholas,Ralph,161,nicholas-nickleby
God,Ralph,171,nicholas-nickleby
Ralph,God,171,nicholas-nickleby
Ralph,Mrs Nickleby,179,nicholas-nickleby
Mrs Nickleby,Ralph,179,nicholas-nickleby
Nickleby,Nicholas,180,nicholas-nickleby
Nicholas,Nickleby,180,nicholas-nickleby
Ralph,Nicholas,181,nicholas-nickleby
Nicholas,Ralph,181,nicholas-nickleby
Ralph,Nicholas,182,nicholas-nickleby
Nicholas,Ralph,182,nicholas-nickleby
Mr.,Ralph Nickleby,198,nicholas-nickleby
Ralph Nickleby,Mr.,198,nicholas-nickleby
Mr. Wackford Squeers,Academy,203,nicholas-nickleby
Mr. Wackford Squeers,Dotheboys Hall,203,nicholas-nickleby
Mr. Wackford Squeers,Mr. Squeers,203,nicholas-nickleby
Mr. Wackford Squeers,Saracen,203,nicholas-nickleby
Mr. Wackford Squeers,Snow Hill,203,nicholas-nickleby
Mr. Wackford Squeers,Annual,203,nicholas-nickleby
Academy,Mr. Wackford Squeers,203,nicholas-nickleby
Academy,Dotheboys Hall,203,nicholas-nickleby
Academy,Mr. Squeers,203,nicholas-nickleby
Academy,Saracen,203,nicholas-nickleby
Academy,Snow Hill,203,nicholas-nickleby
Academy,Annual,203,nicholas-nickleby
Dotheboys Hall,Mr. Wackford Squeers,203,nicholas-nickleby
Dotheboys Hall,Academy,203,nicholas-nickleby
Dotheboys Hall,Mr. Squeers,203,nicholas-nickleby
Dotheboys Hall,Saracen,203,nicholas-nickleby
Dotheboys Hall,Snow Hill,203,nicholas-nickleby
Dotheboys Hall,Annual,203,nicholas-nickleby
Mr. Squeers,Mr. Wackford Squeers,203,nicholas-nickleby
Mr. Squeers,Academy,203,nicholas-nickleby
Mr. Squeers,Dotheboys Hall,203,nicholas-nickleby
Mr. Squeers,Saracen,203,nicholas-nickleby
Mr. Squeers,Snow Hill,203,nicholas-nickleby
Mr. Squeers,Annual,203,nicholas-nickleby
Saracen,Mr. Wackford Squeers,203,nicholas-nickleby
Saracen,Academy,203,nicholas-nickleby
Saracen,Dotheboys Hall,203,nicholas-nickleby
